2021-10-19-9-54-27 : foodHitCount = 27 out of 128 ;  foodHitCellPos = (10 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-29 : foodHitCount = 28 out of 128 ;  foodHitCellPos = (11 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-30 : foodHitCount = 29 out of 128 ;  foodHitCellPos = (12 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-31 : foodHitCount = 30 out of 128 ;  foodHitCellPos = (13 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-34 : foodHitCount = 31 out of 128 ;  foodHitCellPos = (13 , 8) ; idxToErase = 49 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-35 : foodHitCount = 32 out of 128 ;  foodHitCellPos = (13 , 9) ; idxToErase = 57 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-36 : foodHitCount = 33 out of 128 ;  foodHitCellPos = (13 , 10) ; idxToErase = 61 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-37 : foodHitCount = 34 out of 128 ;  foodHitCellPos = (13 , 11) ; idxToErase = 72 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-40 : foodHitCount = 35 out of 128 ;  foodHitCellPos = (14 , 11) ; idxToErase = 72 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-42 : foodHitCount = 36 out of 128 ;  foodHitCellPos = (14 , 12) ; idxToErase = 77 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-43 : foodHitCount = 37 out of 128 ;  foodHitCellPos = (14 , 13) ; idxToErase = 88 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-46 : foodHitCount = 38 out of 128 ;  foodHitCellPos = (15 , 13) ; idxToErase = 88 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-47 : foodHitCount = 39 out of 128 ;  foodHitCellPos = (16 , 13) ; idxToErase = 88 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-49 : foodHitCount = 40 out of 128 ;  foodHitCellPos = (17 , 13) ; idxToErase = 88 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-51 : foodHitCount = 41 out of 128 ;  foodHitCellPos = (17 , 12) ; idxToErase = 77 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-52 : foodHitCount = 42 out of 128 ;  foodHitCellPos = (17 , 11) ; idxToErase = 72 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-53 : foodHitCount = 43 out of 128 ;  foodHitCellPos = (17 , 10) ; idxToErase = 61 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-53 : foodHitCount = 43 out of 128 ;  foodHitCellPos = (17 , 10) ; idxToErase = 61 ; superFoodHitCount = 4 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
